185.235.243.172:443#TR [176.65ms]
185.234.66.91:443#TR [190.97ms]
185.226.92.190:2053#TR [232.74ms]
138.249.20.217:2053#TR [242.01ms]
45.12.143.73:443#TR [242.04ms]
45.89.52.85:443#TR [245.0ms]
212.87.199.124:2096#TR [252.06ms]
138.249.20.76:443#TR [262.84ms]
188.132.192.194:2053#TR [267.95ms]
155.103.71.153:2053#TR [272.12ms]
114.33.57.170:443#TW [优选高速 63.63ms]
1.162.72.5:8443#TW [优选高速 75.79ms]
103.137.63.227:8443#TW [122.62ms]
167.253.153.147:443#TW [374.44ms]
167.253.153.215:443#TW [436.71ms]
185.86.77.181:8443#UA [235.56ms]
171.33.241.51:2053#UA [250.28ms]
31.57.63.64:443#US [160.59ms]
104.223.38.6:443#US [164.09ms]
45.159.79.36:2096#US [164.57ms]
142.171.7.60:443#US [165.05ms]
64.186.236.184:8443#US [165.09ms]
31.58.226.196:8443#US [165.21ms]
142.171.171.35:443#US [165.89ms]
154.17.4.159:2053#US [166.77ms]
31.58.50.143:2053#US [166.89ms]
130.12.47.89:443#US [167.16ms]
157.22.128.7:443#UZ [242.4ms]
160.22.17.48:443#VN [117.63ms]
160.22.16.187:443#VN [133.24ms]
163.61.74.121:443#VN [136.75ms]
123.58.199.241:443#VN [272.63ms]
116.118.8.19:443#VN [416.96ms]
102.209.117.68:443#ZA [344.14ms]
156.38.157.171:2053#ZA [372.7ms]
156.38.157.171:8443#ZA [378.62ms]
139.84.226.30:8443#ZA [431.15ms]
139.84.231.16:8443#ZA [446.96ms]
139.84.236.69:443#ZA [449.7ms]
139.84.232.188:443#ZA [460.46ms]
